accuracy,avg_final_confidence,exact_match_rate,group,heuristic_accuracy,n,numeric_match_rate
0.4166666666666667,0.8805555555555555,0.0,3M,0.75,24,0.75
0.3333333333333333,0.8925925925925926,0.3333333333333333,AES Corporation,0.3333333333333333,9,0.3333333333333333
0.5416666666666666,0.8506944444444445,0.0,AMD,0.20833333333333334,24,0.08333333333333333
0.16666666666666666,0.9500000000000001,0.16666666666666666,Activision Blizzard,0.3333333333333333,6,0.3333333333333333
0.6,0.92,0.4666666666666667,Adobe,1.0,15,1.0
0.5555555555555556,0.9722222222222222,0.1111111111111111,Amazon,0.7777777777777778,9,0.7777777777777778
0.5555555555555556,0.9345679012345679,0.0,Amcor,0.5185185185185185,27,0.5185185185185185
0.5238095238095238,0.9253968253968254,0.0,American Express,0.19047619047619047,21,0.09523809523809523
0.2222222222222222,0.9722222222222222,0.0,American Water Works,0.7777777777777778,9,0.7777777777777778
0.5416666666666666,0.9083333333333333,0.041666666666666664,Best Buy,0.7083333333333334,24,0.7083333333333334
0.5555555555555556,0.9888888888888889,0.2222222222222222,Block,1.0,9,1.0
0.5416666666666666,0.8506944444444445,0.0,Boeing,0.6666666666666666,24,0.6666666666666666
0.3333333333333333,0.9500000000000001,0.0,CVS Health,0.25,12,0.25
0.6666666666666666,0.9777777777777779,0.4444444444444444,Coca-Cola,0.6666666666666666,9,0.6666666666666666
0.16666666666666666,0.9666666666666667,0.08333333333333333,Corning,0.5833333333333334,12,0.5833333333333334
1.0,1.0,0.0,Costco,1.0,3,1.0
1.0,0.9500000000000001,0.0,Foot Locker,0.0,6,0.0
0.5833333333333334,0.9666666666666667,0.4166666666666667,General Mills,0.75,12,0.75
0.4666666666666667,0.94,0.0,JPMorgan,0.0,15,0.0
0.7037037037037037,0.9092592592592593,0.0,Johnson & Johnson,0.7037037037037037,27,0.7037037037037037
0.3333333333333333,0.9666666666666667,0.3333333333333333,Kraft Heinz,0.3333333333333333,3,0.3333333333333333
0.5555555555555556,0.9666666666666666,0.2222222222222222,Lockheed Martin,0.8888888888888888,9,0.8888888888888888
0.6190476190476191,0.9619047619047618,0.0,MGM Resorts,0.47619047619047616,21,0.47619047619047616
0.5,0.9666666666666667,0.0,Microsoft,0.6666666666666666,6,0.6666666666666666
0.16666666666666666,0.9583333333333334,0.0,Netflix,0.3333333333333333,6,0.3333333333333333
0.5833333333333334,0.9666666666666667,0.0,Nike,0.6666666666666666,12,0.6666666666666666
0.0,0.7999999999999999,0.0,Paypal,1.0,3,1.0
0.6060606060606061,0.9494949494949495,0.0,PepsiCo,0.5151515151515151,33,0.5151515151515151
0.3333333333333333,0.9472222222222223,0.0,Pfizer,0.0,18,0.0
0.6111111111111112,0.963888888888889,0.0,Ulta Beauty,0.5,18,0.5
0.6666666666666666,0.9600000000000001,0.0,Verizon,0.13333333333333333,15,0.13333333333333333
0.4444444444444444,0.7333333333333333,0.2222222222222222,Walmart,0.3333333333333333,9,0.3333333333333333
