accuracy,avg_final_confidence,exact_match_rate,group,heuristic_accuracy,n,numeric_match_rate
0.6133333333333333,0.9666666666666667,0.10666666666666667,debate,0.58,150,0.5733333333333334
0.47333333333333333,0.9123333333333333,0.04666666666666667,orchestrator,0.4866666666666667,150,0.47333333333333333
0.48,0.9023333333333333,0.04666666666666667,single_agent,0.47333333333333333,150,0.46
